Date,Open,High,Low,Close,Adj_Close,Volume
2022-01-14,"4,637.99","4,665.13","4,614.75","4,662.85","4,662.85","4,338,490,000"
2022-01-13,"4,733.56","4,744.13","4,650.29","4,659.03","4,659.03","4,251,730,000"
2022-01-12,"4,728.59","4,748.83","4,706.71","4,726.35","4,726.35","4,048,220,000"
2022-01-11,"4,669.14","4,714.13","4,638.27","4,713.07","4,713.07","4,101,590,000"
2022-01-10,"4,655.34","4,673.02","4,582.24","4,670.29","4,670.29","4,511,810,000"
2022-01-07,"4,697.66","4,707.95","4,662.74","4,677.03","4,677.03","4,181,510,000"
2022-01-06,"4,693.39","4,725.01","4,671.26","4,696.05","4,696.05","4,295,280,000"
2022-01-05,"4,787.99","4,797.70","4,699.44","4,700.58","4,700.58","4,887,960,000"
2022-01-04,"4,804.51","4,818.62","4,774.27","4,793.54","4,793.54","4,683,170,000"
2022-01-03,"4,778.14","4,796.64","4,758.17","4,796.56","4,796.56","3,831,020,000"
2021-12-31,"4,775.21","4,786.83","4,765.75","4,766.18","4,766.18","2,677,820,000"
2021-12-30,"4,794.23","4,808.93","4,775.33","4,778.73","4,778.73","3,124,950,000"
2021-12-29,"4,788.64","4,804.06","4,778.08","4,793.06","4,793.06","2,963,310,000"
2021-12-28,"4,795.49","4,807.02","4,780.04","4,786.35","4,786.35","2,707,920,000"
2021-12-27,"4,733.99","4,791.49","4,733.99","4,791.19","4,791.19","2,770,290,000"
2021-12-23,"4,703.96","4,740.74","4,703.96","4,725.79","4,725.79","2,913,040,000"
2021-12-22,"4,650.36","4,697.67","4,645.53","4,696.56","4,696.56","3,319,610,000"
2021-12-21,"4,594.96","4,651.14","4,583.16","4,649.23","4,649.23","4,072,430,000"
2021-12-20,"4,587.90","4,587.90","4,531.10","4,568.02","4,568.02","4,635,700,000"
2021-12-17,"4,652.50","4,666.70","4,600.22","4,620.64","4,620.64","7,987,090,000"
2021-12-16,"4,719.13","4,731.99","4,651.89","4,668.67","4,668.67","4,829,500,000"
2021-12-15,"4,636.46","4,712.60","4,611.22","4,709.85","4,709.85","4,910,130,000"
2021-12-14,"4,642.99","4,660.47","4,606.52","4,634.09","4,634.09","4,485,430,000"
2021-12-13,"4,710.30","4,710.30","4,667.60","4,668.97","4,668.97","4,397,230,000"
2021-12-10,"4,687.64","4,713.57","4,670.24","4,712.02","4,712.02","3,870,110,000"
2021-12-09,"4,691.00","4,695.26","4,665.98","4,667.45","4,667.45","3,903,840,000"
2021-12-08,"4,690.86","4,705.06","4,674.52","4,701.21","4,701.21","4,234,600,000"
2021-12-07,"4,631.97","4,694.04","4,631.97","4,686.75","4,686.75","4,492,400,000"
2021-12-06,"4,548.37","4,612.60","4,540.51","4,591.67","4,591.67","4,770,800,000"
2021-12-03,"4,589.49","4,608.03","4,495.12","4,538.43","4,538.43","5,240,070,000"
2021-12-02,"4,504.73","4,595.46","4,504.73","4,577.10","4,577.10","5,077,180,000"
2021-12-01,"4,602.82","4,652.94","4,510.27","4,513.04","4,513.04","5,366,730,000"
2021-11-30,"4,640.25","4,646.02","4,560.00","4,567.00","4,567.00","6,625,990,000"
2021-11-29,"4,628.75","4,672.95","4,625.26","4,655.27","4,655.27","4,336,410,000"
2021-11-26,"4,664.63","4,664.63","4,585.43","4,594.62","4,594.62","3,517,700,000"
2021-11-24,"4,675.78","4,702.87","4,659.89","4,701.46","4,701.46","3,418,430,000"
2021-11-23,"4,678.48","4,699.39","4,652.66","4,690.70","4,690.70","4,277,590,000"
2021-11-22,"4,712.00","4,743.83","4,682.17","4,682.94","4,682.94","4,441,100,000"
2021-11-19,"4,708.44","4,717.75","4,694.22","4,697.96","4,697.96","4,253,180,000"
2021-11-18,"4,700.72","4,708.80","4,672.78","4,704.54","4,704.54","4,226,410,000"
2021-11-17,"4,701.50","4,701.50","4,684.41","4,688.67","4,688.67","3,969,070,000"
2021-11-16,"4,679.42","4,714.95","4,679.42","4,700.90","4,700.90","3,972,640,000"
2021-11-15,"4,689.30","4,697.42","4,672.86","4,682.80","4,682.80","3,488,410,000"
2021-11-12,"4,655.24","4,688.47","4,650.77","4,682.85","4,682.85","3,728,600,000"
2021-11-11,"4,659.39","4,664.55","4,648.31","4,649.27","4,649.27","3,926,870,000"
2021-11-10,"4,670.26","4,684.85","4,630.86","4,646.71","4,646.71","4,503,720,000"
2021-11-09,"4,707.25","4,708.53","4,670.87","4,685.25","4,685.25","4,117,080,000"
2021-11-08,"4,701.48","4,714.92","4,694.39","4,701.70","4,701.70","4,269,710,000"
2021-11-05,"4,699.26","4,718.50","4,681.32","4,697.53","4,697.53","4,467,180,000"
2021-11-04,"4,662.93","4,683.00","4,662.59","4,680.06","4,680.06","4,462,300,000"
2021-11-03,"4,630.65","4,663.46","4,621.19","4,660.57","4,660.57","4,319,660,000"
2021-11-02,"4,613.34","4,635.15","4,613.34","4,630.65","4,630.65","3,975,250,000"
2021-11-01,"4,610.62","4,620.34","4,595.06","4,613.67","4,613.67","3,971,540,000"
2021-10-29,"4,572.87","4,608.08","4,567.59","4,605.38","4,605.38","4,510,200,000"
2021-10-28,"4,562.84","4,597.55","4,562.84","4,596.42","4,596.42","4,132,950,000"
